ticker,period,model_key,seed,loss_name,update,loss
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,0,0.03173871338367462
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,1,0.01784604974091053
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,2,0.02966625988483429
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,3,0.021082675084471703
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,4,0.021075963973999023
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,5,0.01848806068301201
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,6,0.014640068635344505
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,7,0.028243832290172577
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,8,0.02153836004436016
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,9,0.025027375668287277
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,10,0.02066314034163952
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,11,0.04245954751968384
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,12,0.019123569130897522
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,13,0.020056067034602165
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,14,0.01848585344851017
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,15,0.022056233137845993
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,16,0.034237273037433624
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,17,0.046762704849243164
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,18,0.041983749717473984
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,19,0.01868550106883049
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,20,0.04397277161478996
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,21,0.023400895297527313
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,22,0.04054943472146988
GAS,BAD,UCB_WITHOUT_COST_NETWORK,41,Q loss,23,0.08776332437992096
